ham    Happy Birthday! Hope you have a fantastic day ahead.
spam    Limited time offer! Get 90% OFF on branded shoes. Visit www.fakesite.com now!
ham    "Let’s go for a night drive, the weather is amazing right now."
spam    "You've been selected for a cash reward of ₹50,000. Click www.cashwin.in to claim now!"
ham    "Let’s go for a night drive, the weather is amazing right now."
spam    WIN BIG! Send LUCKY to 55888 and stand a chance to win ₹1 Lakh every week!
ham     "Meeting got cancelled, so I’m heading home early. Want to hang out?"
spam    FREE subscription to Spotify Premium. Send SPOT to 69999 before midnight!
ham    "Let’s go for a night drive, the weather is amazing right now."
spam    Limited time offer! Get 90% OFF on branded shoes. Visit www.fakesite.com now!
ham    "Don’t worry about the assignment, I’ll send you the files tonight."
spam    Get FREE Netflix for 1 year! Just reply YES to 76543 and enjoy unlimited streaming!
ham    Can you bring my charger to class? I forgot it in your bag.
spam    "You've been selected for a cash reward of ₹50,000. Click www.cashwin.in to claim now!"
ham    Hey! Are you free this weekend? Let's catch up for coffee or something.
spam    "You've been selected for a cash reward of ₹50,000. Click www.cashwin.in to claim now!"
ham    "Let’s go for a night drive, the weather is amazing right now."
spam    Limited time offer! Get 90% OFF on branded shoes. Visit www.fakesite.com now!
ham    Can you bring my charger to class? I forgot it in your bag.
spam    You’ve been chosen for a complimentary dinner at The Taj. Call 0800123456 now!
ham    "Don’t worry about the assignment, I’ll send you the files tonight."
spam    WIN BIG! Send LUCKY to 55888 and stand a chance to win ₹1 Lakh every week!
ham    Just reached the airport. Flight is on time!
spam    FREE subscription to Spotify Premium. Send SPOT to 69999 before midnight!
ham    "Don’t worry about the assignment, I’ll send you the files tonight."
spam    WIN BIG! Send LUCKY to 55888 and stand a chance to win ₹1 Lakh every week!
ham    "Let’s go for a night drive, the weather is amazing right now."
spam    Limited time offer! Get 90% OFF on branded shoes. Visit www.fakesite.com now!
ham    Can you bring my charger to class? I forgot it in your bag.
spam    Claim your free flight ticket to Goa now! Offer valid for 24 hrs only. Call 09051234567.
ham    "Call me when you’re free, need to tell you something important."
spam    Get FREE Netflix for 1 year! Just reply YES to 76543 and enjoy unlimited streaming!
ham    "Call me when you’re free, need to tell you something important."
spam    Your number has been shortlisted for a luxury Dubai trip! SMS DUBAI to 77889 now.
ham    "Don’t worry about the assignment, I’ll send you the files tonight."
spam    Congratulations! Your SIM has been upgraded to Gold Tier. Reply GOLD to 44123.
ham    Wanna play some badminton in the evening?
spam    Claim your free flight ticket to Goa now! Offer valid for 24 hrs only. Call 09051234567.
ham    Just reached the airport. Flight is on time!
spam    Claim your free flight ticket to Goa now! Offer valid for 24 hrs only. Call 09051234567.
ham    Just reached the airport. Flight is on time!
spam    Your number has been shortlisted for a luxury Dubai trip! SMS DUBAI to 77889 now.
ham    Can you bring my charger to class? I forgot it in your bag.
spam    Limited time offer! Get 90% OFF on branded shoes. Visit www.fakesite.com now!
ham    "Call me when you’re free, need to tell you something important."
spam    Congratulations! You've won a brand new iPhone 15. Text WIN to 63456 to claim now.
ham    "Don’t worry about the assignment, I’ll send you the files tonight."
spam    Get FREE Netflix for 1 year! Just reply YES to 76543 and enjoy unlimited streaming!
ham    Hey! Are you free this weekend? Let's catch up for coffee or something.
spam    FREE subscription to Spotify Premium. Send SPOT to 69999 before midnight!
